title,amount2017,amount2016
Министерство финансов,254769,208296
Министерство социальной политики,153365,152200
Министерство образования и науки,86241,72805
Министерство охраны здоровья,74572,57016
Министерство обороны,66560,58097
Министерство внутренних дел,51379,50323
Государственное агентство автомобильных дорог,16552,15091
"Министерство регионального развития, строительства и ЖКХ",14334,5653
Министерство аграрной политики и продовольствия,9572,2189
Государственная судебная администрация,8685,6492
Министерство юстиции,8523,6951
"Совет министров АРК, ОГА, Киевская и Севастопольская ГГА",7263,4632
Служба безопасности,6709,5831
Министерство экологии и природных ресурсов,6609,6456
Генеральная прокуратура,5041,3125
Министерство культуры,4229,2655
Министерство иностранных дел,4088,2833
Национальная академия наук,3524,2699
Министерство экономического развития и торговли,3266,1269
Государственное космическое агентство,2927,2415
Министерство энергетики и угольной промышленности,2623,2781
Президент,2140,1394
Министерство молодёжи и спорта,2006,1391
Национальная академия медицинских наук,1919,1836
Государственная служба специальной связи и защиты информации,1789,1054
Государственный комитет телевидения и радиовещания,1639,1325
Главное управление разведки Министерства обороны,1436,1361
Кабинет Министров,1402,303
Министерство инфраструктуры,1201,608
Верховный Совет,1129,828
Верховный Суд,1013,126
Служба внешней разведки,1000,855
Управление государственной охраны,854,677
Национальная академия аграрных наук,824,735
Национальное антикоррупционное бюро,794,477
Национальное агентство по вопросам предотвращения коррупции,606,232
Центральная избирательная комиссия,433,178
Министерство информационной политики,262,112
Фонд государственного имущества,256,171
Национальная академия педагогических наук,185,114
Конституционный Суд,173,99
Счетная палата,149,82
Высший хозяйственный суд,149,121
Высший административный суд,149,120
Высший суд по рассмотрению гражданских и уголовных дел,145,139
Высший совет юстиции,133,31
Совет национальной безопасности и обороны,128,68
Антимонопольный комитет,124,73
Национальное агентство по вопросам государственной службы,122,71
"Национальная комиссия, которая осуществляет государственное регулирование в сфере энергетики и коммунальных услуг",106,53
Национальная комиссия по ценным бумагам и фондовому рынку,87,53
"Национальная комиссия, которая осуществляет государственное регулирование в сфере связи и информатизации",59,31
"Национальная комиссия, которая осуществляет государственное регулирование в сфере рынков финансовых услуг",52,27
Секретариат Уполномоченного Верховного Совета по правам человека,51,31
Государственная инспекция ядерного регулирования,51,26
Национальный совет по вопросам телевидения и радиовещания,48,28
Государственная регуляторная служба,38,19
Национальная академия правовых наук,36,29
Национальная академия искусства,23,16
