geonameid,name,asciiname,alternatenames,latitude,longitude,feature class,feature code,country code,cc2,admin1 code,admin2 code,admin3 code,admin4 code,population,elevation,dem,timezone,modification date
461727,Olenevka,Olenevka,"Karadzhi,Olenevka,Qaragy,Qarağy,Караджи́,Оленевка",45.38333,32.53333,P,PPLA3,UA,,11,710690,11153142,,1441,5,-3,Europe/Simferopol,2017-03-29
505257,Urzuf,Urzuf,"Primorskoye,Urzuf,Urzufskiye,Zelenoye,Урзуф",46.91562,37.09961,P,PPL,UA,,5,,,,2904,,8,Europe/Kiev,2014-09-30
613273,Lebedyn,Lebedyn,"Lebedin,Lebedina,Lebedine,Lebedyn,Lebedîn,Lebedın,lbdyn,lebedini,lie bie jin,Łebedyn,Лебедин,Լեբեդին,لبدین,ლებედინი,列別金",50.58518,34.4849,P,PPLA2,UA,,21,,,,27695,,122,Europe/Kiev,2014-07-08
616196,Staryy Dobrotvir,Staryy Dobrotvir,"Starij Dobrotvir,Staryy Dobrotvir,Staryy Dobrotvor,Старий Добротвір",50.23154,24.37701,P,PPL,UA,,15,,,,6436,,201,Europe/Kiev,2012-11-08
616743,Druzhkivka,Druzhkivka,"Druzhkivka,Druzhkovka,Дружковка,Дружківка",48.63013,37.55259,P,PPL,UA,,5,,,,62315,,101,Europe/Kiev,2017-08-28
618835,Zhydachiv,Zhydachiv,"Jidaciv,Jydatchiv,Jîdaciv,Jıdaçiv,Schydatschiw,Zhidachev,Zhidachiv,Zhidachov,Zhidechuv,Zhidáchiv,Zhydachiv,Zhydachuv,Zidaciva,Zjydatsjiv,Zydaciv,Zydaczow,jydatshyf,ri da qiao fu,zhidachovi,zhydashyf,Żydaczów,Židačiva,Žydačiv,Жидачов,Жидачів,Ժիդաչև,זידאצוב,جيداتشيف,ژیداشیف,ჟიდაჩოვი,日達喬夫",49.38468,24.14254,P,PPLA2,UA,,15,,,,0,,261,Europe/Kiev,2016-11-22
686729,Vasylivka,Vasylivka,"Vasil'evka,Vasil'yevka,Vasilevka,Vasilievka,Vasilivka,Vasil’yevka,Vassolivka,Vassylivka,Vassõlivka,Vasylivka,Vasîlivka,Vasılivka,Wassyliwka,Wasyliwka,fasylyfka,wa xi li fu ka,wasylyfka,Василивка,Васильевка,Василівка,Վասիլիևկա,فاسيليفكا,واسیلیفکا,ვასილიევკა,瓦西利夫卡",47.43694,35.27417,P,PPLA2,UA,,26,,,,15012,,39,Europe/Zaporozhye,2014-12-03
686748,Kovyl’noye,Kovyl'noye,"Kovil'ne,Kovyl'noe,Kovyl'noye,Kovyl’noye,Manaj,Monaj Nemeckij,Ковильне,Ковыльное,Мона́й Неме́цкий",45.69028,33.52775,P,PPLA3,UA,,11,695741,11153029,,783,70,72,Europe/Simferopol,2017-03-29
686762,Ivano-Frankove,Ivano-Frankove,"Imeni Ivana Franko,Ivana Franko,Ivano-Frankove,Ivano-Frankovo,Janow,Janów,Yanov,Yanuv,Івано-Франкове,Ивано-Франково",49.91978,23.72913,P,PPL,UA,,15,,,,6223,,307,Europe/Kiev,2013-02-14
686778,Zybiny,Zybiny,"Arginchik,ArƔyncyq,ArƔynčyq,Zibini,Zybiny,Аргинчи́к,Зибини,Зыбины",45.23674,34.64987,P,PPLA3,UA,,11,712585,11152833,,1220,90,81,Europe/Simferopol,2017-02-22
